YMDB ID,Name,Formula,mz,Formal charge,
YMDB00004,"Galactose 1-phosphate; 1-(dihydrogen phosphate) Galactitol; 1-O-phosphono-a-D-Galactopyranose; 1-O-phosphono-alpha-D-Galactopyranose; 1-O-phosphono-α-D-galactopyranose; 1-phosphate a-D-Galactopyranose; a-D-1-(dihydrogen phosphate) Galactopyranose; a-D-Gal-1-P; a-D-Galactopyranose 1-phosphate; a-D-Galactopyranose 1-phosphoric acid; a-D-Galactopyranose, 1-(dihydrogen phosphate); a-D-Galactopyranose, 1-(dihydrogen phosphoric acid); a-D-Galactopyranosyl phosphate; a-D-Galactopyranosyl phosphoric acid; a-D-Galactose 1-phosphate; a-D-Galactosyl phosphate; a-D-Galactosyl phosphoric acid; alpha-D-1-(dihydrogen phosphate) Galactopyranose; alpha-D-Gal-1-P; alpha-D-Galactopyranose 1-phosphate; alpha-D-Galactopyranose 1-phosphoric acid; alpha-D-Galactopyranose, 1-(dihydrogen phosphate); alpha-D-Galactopyranose, 1-(dihydrogen phosphoric acid); alpha-D-Galactopyranosyl phosphate; alpha-D-Galactopyranosyl phosphoric acid; alpha-D-Galactose 1-phosphate; alpha-D-Galactosyl phosphate; alpha-D-Galactosyl phosphoric acid; D-Galactose 1-phosphate; Galactopyranose 1-phosphate; Galactose 1-phosphate; Galactose 1-phosphic acid; Galactose 1-phosphoric acid; Galactose-1-phosphate; Galactose-1-phosphate, (beta-D-gal)-isomer; Galactose-1-phosphate, (beta-L-gal)-isomer; Galactose-1-phosphate, 14C-labeled; Galactose-1-phosphate, disilver (+1) salt, (D-gal)-isomer; Galactose-1-phosphate, sodium salt; Galactose-1-phosphoric acid; α-D-gal-1-P; α-D-galactopyranose 1-phosphate; α-D-galactopyranose 1-phosphoric acid; α-D-galactopyranose, 1-(dihydrogen phosphate); α-D-galactopyranose, 1-(dihydrogen phosphoric acid); α-D-galactopyranosyl phosphate; α-D-galactopyranosyl phosphoric acid; α-D-galactosyl phosphate; α-D-galactosyl phosphoric acid",C6H13O9P,260.0297185,0,260.0297185
YMDB00006,"1D-Myo-inositol 1,4,5,6-tetrakisphosphate; 1D-myo-Inositol 1,4,5,6-tetrakisphosphic acid; 1D-myo-Inositol 1,4,5,6-tetrakisphosphoric acid; D-myo-Inositol 1,4,5,6-tetrakisphosphate; D-myo-Inositol 1,4,5,6-tetrakisphosphoric acid; Inositol 1,4,5,6-tetrakisphosphate; Inositol 1,4,5,6-tetrakisphosphoric acid; Ins(1,4,5,6)P3",C6H16O18P4,499.9287098,0,499.9287098
YMDB00011,"D-Fructose 2,6-bisphosphate; 2,6-Di-O-phosphono-b-D-fructofuranose; 2,6-Di-O-phosphono-beta-D-fructofuranose; 2,6-Di-O-phosphono-β-D-fructofuranose; b-D-fructose 2,6-bisphosphate; beta-D-fructose 2,6-bisphosphate; D-Fructose 2,6-bisphosphate; D-Fructose 2,6-bisphosphic acid; D-Fructose 2,6-bisphosphoric acid; Fru 2,6-P2, Fructose 2,6-diphosphate; Fructose 2,6-biphosphate; fructose 2,6-bisphosphate; Fructose 2,6-diphosphate; Phosphofructokinase activation factor; Phosphofructokinase activator",C6H14O12P2,339.9960489,0,339.9960489
YMDB00018,"Dihydroxyacetone; 1,3 Dihydroxy 2 propanone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxyacetone; 1,3-Dihydroxydimethyl ketone; 1,3-Dihydroxypropan-2-one; 1,3-Dihydroxypropanone; 1,3-Propanediol-2-one; a,a'-Dihydroxyacetone; a,Alpha'-dihydroxyacetone; Aliphatic ketone; alpha,Alpha'-dihydroxyacetone; Bis(hydroxymethyl) ketone; Chromelin; DHA; dihydroxy-acetone; Dihydroxyacetone; Dihyxal; glycerone; ICN brand OF dihydroxyacetone; Ketochromin; Otan; Oxantin; Oxatone; Protosol; Soleal; Summers brand OF dihydroxyacetone; Triulose; Vitadye; Viticolor; α,alpha'-dihydroxyacetone",C3H6O3,90.03169406,0,90.03169406
YMDB00023,"3',5'-cyclic AMP; 3,5-cyclic amp; 3'-5'-cyclic adenosine monophosphate; 3',5'-Cyclic AMP; 3',5'-Monophosphate, adenosine cyclic; 3'5'-cyclic AMP; 6-(6-Amino-9H-purin-9-yl)tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinine-2,7-diol 2-oxide; Acrasin; Adenosine 3,5'-cyclic monophosphorate; Adenosine 3,5'-cyclic monophosphoric acid; Adenosine 3', 5'-phosphate; Adenosine 3',5'-cyclic monophosphate; Adenosine 3',5'-cyclic monophosphoric acid; Adenosine 3',5'-cyclic phosphate; Adenosine 3',5'-cyclic phosphoric acid; Adenosine 3',5'-cyclophosphate; Adenosine 3',5'-monophosphate; Adenosine 3',5'-phosphate; adenosine 3',5'-phosphate monohydrate; Adenosine 3',5'-phosphoric acid; Adenosine 3':5'-cyclic monophosphate; adenosine 3[-,5[-cyclic monophosphate; Adenosine cyclic 3,5 monophosphate; Adenosine cyclic 3',5' monophosphate; Adenosine cyclic 3',5'-monophosphate; Adenosine cyclic 3',5'-phosphate; Adenosine cyclic monophosphate; Adenosine cyclic-3',5'-monophosphate; adenosine cyclic-monophosphate; Adenosine-3',5'-cyclic phosphate; ADENOSINE-3',5'-CYCLIC-MONOPHOSPHATE; ADENOSINE-3',5'-cyclic-monophosphoric acid; adenosine-cyclic-phosphate; adenosine-cyclic-phosphoric-acid; Adenosine, 3',5'-cyclic-monophosphoric acid; Adenosine, cyclic 3',5'-(hydrogen phosphate); AMP, Cyclic; cAMP; CMP; Cyclic 3',5'-adenylate; Cyclic 3',5'-adenylic acid; Cyclic 3',5'-AMP; Cyclic 3',5'-monophosphate, adenosine; Cyclic adenosine 3',5'-monophosphate; Cyclic adenosine 3',5'-phosphate; Cyclic adenylate; cyclic adenylic acid; Cyclic AMP; Cyclic AMP, (R)-isomer; Cyclic AMP, disodium salt; Cyclic AMP, monoammonium salt; Cyclic AMP, monopotassium salt; Cyclic AMP, monosodium salt; Cyclic AMP, sodium salt; Cyclic monophosphate, adenosine; Cyclic-3',5'-monophosphate, adenosine; Monophosphate, adenosine cyclic",C10H12N5O6P,329.0525197,0,329.0525197
YMDB00030,"Dihydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin; (S-(R*,S*))-2-amino-6-(1,2-dihydroxypropyl)-7,8-dihydro-4(1H)-Pteridinone; 2-amino-6-((1R,2S)-1,2-dihydroxypropyl)-7,8-dihydro-4(1H)-Pteridinone; 2-amino-6-(1,2-dihydroxypropyl)-7,8-dihydro-4(1H)-Pteridinone; 6,7-Dihydrobiopterin; 7,8-Dihydro-L-biopterin; 7,8-Dihydrobiopterin; BH2; Dihydrobiopterin; L-erythro-1-(2-amino-7,8-dihydro-4-hydroxy-6-pteridinyl)-1,2-Propanediol; L-erythro-7,8-Dihydrobiopterin; L-erythro-Dihydrobiopterin; L-erythro-q-Dihydrobiopterin; Q-BH2; Quinoid-dihydrobiopterin; Quinonoid dihydro-(6H)-biopterin; Quinonoid dihydrobiopterin",C9H13N5O3,239.1018393,0,239.1018393
YMDB00035,L-methionine (R)-S-oxide; 2-amino-4-(methylsulfinyl)-Butanoate; 2-amino-4-(methylsulfinyl)-Butanoic acid; alpha-amino-gamma-(methylsulfinyl)-Butyric acid; DL-Methionine sulfoxide; L-Methionine (R)-S-oxide; L-methionine (S)-S-oxide; L-methionine R-oxide; L-Methionine sulfoxide; L-Methionine-R-sulfoxide; L-Methionine-R-sulphoxide; Peptide-L-methionine (R)-S-oxide; S-oxide-methionine,C5H11NO3S,165.0459639,0,165.0459639
YMDB00037,"Pyridoxine; 2-Methyl-3-hydroxy-4,5-bis(hydroxymethyl)pyridine; 2-Methyl-3-hydroxy-4,5-di(hydroxymethyl)pyridine; 2-Methyl-3-hydroxy-4,5-dihydroxymethylpyridine; 2-Methyl-4,5-bis(hydroxymethyl)-3-hydroxypyridine; 3-hydroxy-2-Picoline-4,5-dimethanol; 3-Hydroxy-4,5-bis(hydroxymethyl)-2-methylpyridine; 3-Hydroxy-4,5-dimethylol-a-picoline; 3-Hydroxy-4,5-dimethylol-alpha-picoline; 3-Hydroxy-4,5-dimethylol-α-picoline; 5-Hydroxy-6-methyl-3,4-pyridinedimethanol; Adermine; Gravidox; Hydoxin; Piridossina; Piridoxina; Pyridoxin; Pyridoxine; Pyridoxine hydrochloride; Pyridoxinum; Pyridoxol; Pyridoxol hydrochloride; Pyridoxolum; Rodex; Vitamin b6",C8H11NO3,169.0738932,0,169.0738932
YMDB00042,"1,3-Diaminopropane; 1,3-Diaminepropane; 1,3-Diamino-n-propane; 1,3-propanediamine; 1,3-Propylenediamine; 1,3-Trimethylenediamine; 3-Aminopropylamine; a,w-Propanediamine; Propane-1,3-diamine; tn; Trimethylenediamine; Trimethylenediamine dihydrochloride; Trimethylenediamine hydrochloride",C3H10N2,74.08439833,0,74.08439833
YMDB00049,"Uridine 5'-monophosphate; 5'-Monophosphate, uridine; 5'-UMP; 5'Uridylate; 5'Uridylic acid; Acid, uridylic; Acids, uridylic; Monophosphate, uridine; pU; UMP; Uridine 5' monophosphate; Uridine 5'-(dihydrogen phosphate); Uridine 5'-(dihydrogen phosphoric acid); Uridine 5'-monophosphate; Uridine 5'-monophosphic acid; Uridine 5'-monophosphoric acid; Uridine 5'-phosphate; Uridine 5'-phosphorate; Uridine 5'-phosphoric acid; Uridine mono(dihydrogen phosphate); Uridine monophosphate; Uridine monophosphoric acid; Uridine phosphate; Uridine-5'-monophosphate; URIDINE-5'-monophosphoric acid; Uridylate; Uridylic acid; Uridylic acids",C9H13N2O9P,324.0358665,0,324.0358665
