label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank,IO_12C_01,IO_12C_02,IO_12C_03
,1,1,1,338.930206,3.630,0.615531,,,338.930206@3.630141,338.930206@3.630141,,0.000,0.000000,338.930206,1586.70,19363.03,20097.91,13877.82
,2,2,2,317.197083,4.117,0.840855,,,317.197083@4.117021,317.197083@4.117021,,0.000,0.000000,317.197083,8637.37,29438.74,40149.73,29762.38
,3,3,2,72.993141,12.066,0.646345,,,72.993141@12.066362,72.993141@12.066362,,0.000,0.000000,72.993141,11176.19,77517.53,109257.77,86365.75
,4,4,1,72.993126,13.404,0.688184,,,72.993126@13.403663,72.993126@13.403663,,0.000,0.000000,72.993126,9999.93,43296.71,37663.64,33670.55
,5,5,1,155.946899,13.309,0.679935,,,155.946899@13.308937,155.946899@13.308937,,0.000,0.000000,155.946899,3290.76,36780.63,33935.43,26424.60
,6,6,3,663.324524,7.080,0.849889,,,663.324524@7.079988,663.324524@7.079988,,0.000,0.000000,663.324524,0.00,35921.93,30165.96,25789.74
,7,7,3,380.934662,16.008,0.828833,,,380.934662@16.008163,380.934662@16.008163,,0.000,0.000000,380.934662,2502.57,30018.83,43452.75,36203.36
,8,8,2,806.448547,7.261,0.708222,,,806.448547@7.261461,806.448547@7.261461,,0.000,0.000000,806.448547,0.00,30881.34,19424.05,27447.94
,9,9,3,427.847168,14.005,0.766684,,,427.847168@14.005375,427.847168@14.005375,,0.000,0.000000,427.847168,1014.28,36973.43,37905.29,21783.78
,10,10,1,163.040115,11.225,0.796773,,,163.040115@11.224796,163.040115@11.224796,,0.000,0.000000,163.040115,5016.59,30528.29,39022.02,17524.24
,11,11,3,430.213287,7.061,0.745350,,,430.213287@7.060844,430.213287@7.060844,,0.000,0.000000,430.213287,0.00,37905.21,26654.44,23905.69
,12,12,3,180.020004,7.027,0.850384,,,180.020004@7.026821,180.020004@7.026821,,0.000,0.000000,180.020004,892.17,45368.64,41498.86,28731.23
,13,13,2,319.055878,6.513,0.632112,,,319.055878@6.513278,319.055878@6.513278,,0.000,0.000000,319.055878,0.00,19363.38,17255.38,22952.59
,14,14,3,322.275055,2.990,0.850168,,,322.275055@2.989545,322.275055@2.989545,,0.000,0.000000,322.275055,0.00,34631.80,37552.44,36344.48
,15,15,4,481.303375,7.073,0.751261,,,481.303375@7.072558,481.303375@7.072558,,0.000,0.000000,481.303375,3832.74,35778.73,40455.43,34079.46
,16,16,3,312.118805,10.228,0.849304,,,312.118805@10.227872,312.118805@10.227872,,0.000,0.000000,312.118805,0.00,44916.44,19228.59,17935.87
,17,17,3,377.978149,12.924,0.833541,,,377.978149@12.923783,377.978149@12.923783,,0.000,0.000000,377.978149,1030.08,24624.65,30176.61,33914.72
,18,18,1,308.890900,15.519,0.643258,,,308.890900@15.519167,308.890900@15.519167,,0.000,0.000000,308.890900,1529.17,24357.41,32519.43,30287.01
,19,19,1,258.982147,11.827,0.774301,,,258.982147@11.826850,258.982147@11.826850,,0.000,0.000000,258.982147,2260.03,36476.25,35019.15,37707.84
,20,20,1,80.965164,13.619,0.751696,,,80.965164@13.619312,80.965164@13.619312,,0.000,0.000000,80.965164,2828.39,16793.45,5207.76,24477.28
,21,21,2,492.309937,6.643,0.607969,,,492.309937@6.643446,492.309937@6.643446,,0.000,0.000000,492.309937,5028.21,26672.12,27359.04,28022.70
,22,22,1,343.011688,4.034,0.778130,,,343.011688@4.034400,343.011688@4.034400,,0.000,0.000000,343.011688,0.00,40657.34,41259.65,35002.82
,23,23,3,415.067322,7.088,0.850235,,,415.067322@7.087600,415.067322@7.087600,,0.000,0.000000,415.067322,3055.48,41437.64,44284.94,42558.22
,24,24,3,351.871307,15.611,0.836400,,,351.871307@15.610671,351.871307@15.610671,,0.000,0.000000,351.871307,483.57,27913.77,37996.14,25434.91
,25,25,2,363.205017,7.088,0.849362,,,363.205017@7.088017,363.205017@7.088017,,0.000,0.000000,363.205017,811.98,22105.70,33195.84,29584.91
,26,26,2,232.020264,12.913,0.849678,,,232.020264@12.913287,232.020264@12.913287,,0.000,0.000000,232.020264,638.04,32980.41,38571.28,29172.09
,27,27,3,530.716797,15.546,0.766851,,,530.716797@15.545992,530.716797@15.545992,,0.000,0.000000,530.716797,370.21,42010.52,35870.14,25578.77
,28,28,1,282.983795,6.482,0.672048,,,282.983795@6.482000,282.983795@6.482000,,0.000,0.000000,282.983795,1083.88,23923.78,21812.08,26168.80
,29,29,2,155.019150,3.532,0.718141,,,155.019150@3.532492,155.019150@3.532492,,0.000,0.000000,155.019150,2696.64,24499.93,27033.10,14789.76
,30,30,4,615.449463,3.072,0.849650,,,615.449463@3.071642,615.449463@3.071642,,0.000,0.000000,615.449463,7299.15,36220.28,40914.46,38215.92
,31,31,3,282.993408,13.869,0.739064,,,282.993408@13.868595,282.993408@13.868595,,0.000,0.000000,282.993408,0.00,43269.45,22248.71,37336.27
,32,32,1,358.991547,7.015,0.632577,,,358.991547@7.014872,358.991547@7.014872,,0.000,0.000000,358.991547,0.00,31069.39,29311.14,28174.72
,33,33,3,280.885986,15.542,0.789837,,,280.885986@15.542034,280.885986@15.542034,,0.000,0.000000,280.885986,6381.55,21089.14,42070.11,25995.80
,34,34,3,476.309418,4.568,0.849867,,,476.309418@4.567572,476.309418@4.567572,,0.000,0.000000,476.309418,0.00,43478.91,41550.00,26543.82
,35,35,3,344.071564,13.411,0.850485,,,344.071564@13.411144,344.071564@13.411144,,0.000,0.000000,344.071564,0.00,19859.73,39954.60,15302.83
,36,36,3,284.927673,11.862,0.764193,,,284.927673@11.862391,284.927673@11.862391,,0.000,0.000000,284.927673,4119.53,30425.10,43989.96,45505.36
,37,37,3,642.092041,3.589,0.779859,,,642.092041@3.588833,642.092041@3.588833,,0.000,0.000000,642.092041,3951.93,25551.91,26249.06,31522.32
,38,38,2,187.024826,16.074,0.795117,,,187.024826@16.073963,187.024826@16.073963,,0.000,0.000000,187.024826,1902.94,37401.16,38403.44,37062.27
,39,39,1,109.029556,10.611,0.611870,,,109.029556@10.611438,109.029556@10.611438,,0.000,0.000000,109.029556,1094.85,29870.32,34963.11,14830.67
,40,40,2,499.324860,2.318,0.604137,,,499.324860@2.318150,499.324860@2.318150,,0.000,0.000000,499.324860,0.00,21028.58,20741.45,29245.06
,41,41,1,176.983765,2.596,0.839688,,,176.983765@2.596379,176.983765@2.596379,,0.000,0.000000,176.983765,8429.79,9991.44,14598.48,38116.75
,42,42,3,588.298523,7.061,0.835230,,,588.298523@7.060844,588.298523@7.060844,,0.000,0.000000,588.298523,0.00,43293.61,40577.57,35796.97
,43,43,3,269.032257,4.127,0.829635,,,269.032257@4.126595,269.032257@4.126595,,0.000,0.000000,269.032257,2401.53,29506.87,35427.72,26311.21
,44,44,3,447.234863,3.037,0.849182,,,447.234863@3.037245,447.234863@3.037245,,0.000,0.000000,447.234863,0.00,22481.52,48801.58,19640.71
,45,45,2,380.150177,4.102,0.848854,,,380.150177@4.102442,380.150177@4.102442,,0.000,0.000000,380.150177,2293.19,36573.72,18192.24,9362.06
,46,46,2,96.045517,4.132,0.820653,,,96.045517@4.131750,96.045517@4.131750,,0.000,0.000000,96.045517,11264.39,35275.78,42718.97,33230.98
,47,47,1,293.165131,4.109,0.814150,,,293.165131@4.109078,293.165131@4.109078,,0.000,0.000000,293.165131,0.00,24557.55,13080.68,17016.10
,48,48,1,380.951538,6.441,0.559922,,,380.951538@6.441279,380.951538@6.441279,,0.000,0.000000,380.951538,1285.93,15553.05,20931.59,17528.74
,49,49,3,449.251434,3.089,0.850462,,,449.251434@3.088667,449.251434@3.088667,,0.000,0.000000,449.251434,2022.34,21807.26,39766.78,20812.87
,50,50,3,394.296844,4.048,0.845961,,,394.296844@4.048178,394.296844@4.048178,,0.000,0.000000,394.296844,0.00,38200.52,27382.08,28902.02
,51,51,2,432.872833,15.549,0.811975,,,432.872833@15.549137,432.872833@15.549137,,0.000,0.000000,432.872833,1881.39,10384.12,40197.85,32802.25
,52,52,2,344.227142,4.127,0.841353,,,344.227142@4.126783,344.227142@4.126783,,0.000,0.000000,344.227142,9746.45,20428.49,45641.91,27247.11
,53,53,2,145.069946,12.954,0.849482,,,145.069946@12.953625,145.069946@12.953625,,0.000,0.000000,145.069946,678.56,38159.88,36519.30,28360.93
,54,54,3,341.113342,4.127,0.622377,,,341.113342@4.126629,341.113342@4.126629,,0.000,0.000000,341.113342,10833.92,39799.32,33870.63,33805.12
,55,55,1,242.076904,3.331,0.678718,,,242.076904@3.331496,242.076904@3.331496,,0.000,0.000000,242.076904,1811.05,20161.41,19068.79,35171.16
,56,56,3,665.496643,7.048,0.848880,,,665.496643@7.048039,665.496643@7.048039,,0.000,0.000000,665.496643,0.00,44592.78,30176.70,21569.24
