label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,blank,RT_12C_01,RT_12C_02,RT_12C_03
,1,1,3,97.959488,13.915,0.834063,,,97.959488@13.914697,97.959488@13.914697,,0.000,0.000000,97.959488,7229.39,6712022.50,5426336.50,5640204.00
,2,2,1,97.959518,16.091,0.607046,,,97.959518@16.090616,97.959518@16.090616,,0.000,0.000000,97.959518,13321.48,55660.46,43556.80,37358.25
,3,3,1,97.959511,16.806,0.801809,,,97.959511@16.806166,97.959511@16.806166,,0.000,0.000000,97.959511,13553.08,87573.20,74827.62,75596.85
,4,4,1,97.959511,18.469,0.514355,,,97.959511@18.469166,97.959511@18.469166,,0.000,0.000000,97.959511,15131.05,70428.98,56854.22,54073.57
,5,5,3,246.918106,13.557,0.850140,,,246.918106@13.557416,246.918106@13.557416,,0.000,0.000000,246.918106,0.00,30810.59,33742.74,42559.43
,6,6,1,543.320496,2.143,0.850055,,,543.320496@2.142600,543.320496@2.142600,,0.000,0.000000,543.320496,6444.76,6785.49,38974.50,8095.84
,7,7,2,285.134247,2.112,0.785312,,,285.134247@2.112392,285.134247@2.112392,,0.000,0.000000,285.134247,4048.59,41033.04,29443.37,27825.67
,8,8,3,227.057159,10.655,0.837448,,,227.057159@10.654879,227.057159@10.654879,,0.000,0.000000,227.057159,665.87,40837.75,38404.34,40162.00
,9,9,1,433.280823,4.073,0.839974,,,433.280823@4.073258,433.280823@4.073258,,0.000,0.000000,433.280823,5054.05,30416.06,34670.36,43662.38
,10,10,3,485.223999,12.020,0.850227,,,485.223999@12.020109,485.223999@12.020109,,0.000,0.000000,485.223999,5194.68,30240.49,20292.15,44653.75
,11,11,3,562.309814,3.042,0.849941,,,562.309814@3.042183,562.309814@3.042183,,0.000,0.000000,562.309814,5090.98,31379.60,38019.73,33041.07
,12,12,3,408.911682,13.537,0.839655,,,408.911682@13.536959,408.911682@13.536959,,0.000,0.000000,408.911682,2135.71,38644.28,43043.99,33943.54
,13,13,2,286.246796,2.286,0.843700,,,286.246796@2.286188,286.246796@2.286188,,0.000,0.000000,286.246796,2929.98,39558.24,30750.77,25745.58
,14,14,3,329.208313,3.052,0.847465,,,329.208313@3.051721,329.208313@3.051721,,0.000,0.000000,329.208313,14127.65,37688.10,27793.99,41370.59
,15,15,1,587.347778,2.214,0.850649,,,587.347778@2.214067,587.347778@2.214067,,0.000,0.000000,587.347778,2180.41,5489.52,42934.49,5164.77
,16,16,3,191.019653,16.017,0.750377,,,191.019653@16.017151,191.019653@16.017151,,0.000,0.000000,191.019653,3523444.25,48732668.00,48544932.00,45451732.00
,17,17,3,571.085388,6.801,0.847013,,,571.085388@6.801084,571.085388@6.801084,,0.000,0.000000,571.085388,3423.30,27612.20,45418.49,36909.23
,18,18,3,136.048508,2.925,0.823422,,,136.048508@2.925450,136.048508@2.925450,,0.000,0.000000,136.048508,5088.66,43490.40,46821.67,28384.38
,19,19,1,706.979309,13.969,0.531681,,,706.979309@13.969062,706.979309@13.969062,,0.000,0.000000,706.979309,0.00,16074.33,33087.27,24208.18
,20,20,3,269.076385,13.258,0.849132,,,269.076385@13.257617,269.076385@13.257617,,0.000,0.000000,269.076385,0.00,35670.12,43130.44,30281.78
,21,21,1,739.522705,6.306,0.705867,,,739.522705@6.306300,739.522705@6.306300,,0.000,0.000000,739.522705,1262.99,68284.61,55983.44,57443.73
,22,22,3,397.290131,3.052,0.850251,,,397.290131@3.051679,397.290131@3.051679,,0.000,0.000000,397.290131,10689.70,35021.07,24163.87,25944.79
,23,23,2,539.251465,6.985,0.791694,,,539.251465@6.984633,539.251465@6.984633,,0.000,0.000000,539.251465,0.00,24213.97,38433.83,30007.45
,24,24,3,820.570984,4.277,0.849919,,,820.570984@4.276511,820.570984@4.276511,,0.000,0.000000,820.570984,0.00,30854.98,45163.65,18545.89
,25,25,3,505.881683,14.028,0.850167,,,505.881683@14.028133,505.881683@14.028133,,0.000,0.000000,505.881683,2510.60,33068.92,40905.98,34992.54
,26,26,4,471.327087,8.350,0.813058,,,471.327087@8.350487,471.327087@8.350487,,0.000,0.000000,471.327087,16649.70,40635.52,30399.96,35331.95
,27,27,2,320.029083,12.016,0.845880,,,320.029083@12.016295,320.029083@12.016295,,0.000,0.000000,320.029083,0.00,36449.53,31798.93,30765.08
