label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,SC_12C_01,SC_12C_02,SC_12C_03
,1,1,1,206.082474,3.377,0.695080,,,206.082474@3.377495,206.082474@3.377495,,0.000,0.000000,206.082474,15546.40,3176.54,41858.79
,2,2,3,136.999298,4.008,0.776897,,,136.999298@4.008206,136.999298@4.008206,,0.000,0.000000,136.999298,16592.04,23344.22,25861.26
,3,3,3,228.066452,2.284,0.847573,,,228.066452@2.284372,228.066452@2.284372,,0.000,0.000000,228.066452,40623.63,20245.69,40526.39
,4,4,1,313.202393,2.597,0.804824,,,313.202393@2.597500,313.202393@2.597500,,0.000,0.000000,313.202393,11418.32,2646.14,48125.20
,5,5,2,323.270508,2.023,0.827023,,,323.270508@2.023283,323.270508@2.023283,,0.000,0.000000,323.270508,40057.81,14922.27,27144.45
,6,6,2,498.318756,3.046,0.849040,,,498.318756@3.045905,498.318756@3.045905,,0.000,0.000000,498.318756,40475.02,2026.70,38086.50
,7,7,3,372.169189,13.605,0.850170,,,372.169189@13.605149,372.169189@13.605149,,0.000,0.000000,372.169189,43602.42,17240.75,42979.73
,8,8,1,143.082642,6.540,0.794409,,,143.082642@6.539917,143.082642@6.539917,,0.000,0.000000,143.082642,19973.10,43477.15,15351.66
,9,9,2,314.873535,3.241,0.557315,,,314.873535@3.241239,314.873535@3.241239,,0.000,0.000000,314.873535,19563.33,15963.60,21838.65
,10,10,2,117.055748,3.239,0.608842,,,117.055748@3.238556,117.055748@3.238556,,0.000,0.000000,117.055748,33860.83,11088.72,54184.84
,11,11,1,245.027634,3.891,0.735583,,,245.027634@3.890694,245.027634@3.890694,,0.000,0.000000,245.027634,16472.19,5941.64,39159.31
,12,12,2,342.037445,13.168,0.779107,,,342.037445@13.167895,342.037445@13.167895,,0.000,0.000000,342.037445,40362.84,23770.59,37029.43
,13,13,2,351.160645,1.964,0.726613,,,351.160645@1.964244,351.160645@1.964244,,0.000,0.000000,351.160645,43289.68,13898.83,27908.48
,14,14,1,108.996300,3.949,0.769562,,,108.996300@3.949372,108.996300@3.949372,,0.000,0.000000,108.996300,39909.57,14328.45,32654.71
,15,15,3,170.032166,13.115,0.843650,,,170.032166@13.114734,170.032166@13.114734,,0.000,0.000000,170.032166,38366.99,33699.95,31779.44
,16,16,1,305.874420,10.238,0.764318,,,305.874420@10.238433,305.874420@10.238433,,0.000,0.000000,305.874420,25143.33,22873.95,36245.91
,17,17,2,267.146332,13.141,0.790216,,,267.146332@13.141277,267.146332@13.141277,,0.000,0.000000,267.146332,34434.39,14228.17,49180.14
,18,18,2,115.003723,9.209,0.816674,,,115.003723@9.209407,115.003723@9.209407,,0.000,0.000000,115.003723,33753.72,12507.06,33299.90
,19,19,3,284.194855,4.028,0.845416,,,284.194855@4.027995,284.194855@4.027995,,0.000,0.000000,284.194855,30504.52,14482.54,41128.12
,20,20,1,382.894135,16.425,0.628018,,,382.894135@16.425018,382.894135@16.425018,,0.000,0.000000,382.894135,8424.47,12373.95,8453.21
,21,21,2,143.082687,3.002,0.827634,,,143.082687@3.002466,143.082687@3.002466,,0.000,0.000000,143.082687,42667.50,19915.34,24591.12
